sale_id,product_id,region_id,sale_date,quantity,discount,total_amount
1,5,4,2024-06-29,24,0.05,5016.0
2,1,2,2023-10-29,27,0.15,27540.0
3,1,5,2024-01-23,24,0.0,28800.0
4,5,1,2023-11-27,9,0.1,1782.0
5,4,4,2023-07-13,30,0.1,1620.0
6,2,3,2023-05-10,41,0.1,29520.0
7,8,3,2023-01-22,28,0.1,504.0
8,8,1,2023-10-11,44,0.15,748.0
9,5,4,2023-08-10,2,0.05,418.0
10,5,4,2024-07-28,29,0.0,6380.0
11,4,4,2024-01-09,28,0.0,1680.0
12,8,3,2024-03-15,1,0.05,19.0
13,3,4,2024-11-17,3,0.1,405.0
14,6,5,2023-06-06,2,0.1,54.0
15,6,4,2024-10-03,48,0.1,1296.0
16,4,2,2024-03-12,46,0.0,2760.0
17,5,1,2024-01-11,8,0.05,1672.0
18,6,3,2023-08-02,21,0.1,567.0
19,3,5,2024-03-02,25,0.1,3375.0
20,1,4,2023-03-13,17,0.1,18360.0
21,6,2,2023-06-11,37,0.0,1110.0
22,2,4,2024-03-12,26,0.1,18720.0
23,7,3,2023-05-03,5,0.1,1350.0
24,7,4,2024-11-21,18,0.15,4590.0
25,7,1,2024-12-25,1,0.1,270.0
26,7,1,2024-08-19,21,0.0,6300.0
27,3,4,2023-05-18,40,0.15,5100.0
28,10,4,2024-11-09,40,0.05,76.0
29,9,2,2023-12-09,36,0.05,171.0
30,1,4,2023-03-13,50,0.05,57000.0
31,7,2,2023-02-24,9,0.0,2700.0
32,9,3,2023-01-17,47,0.0,235.0
33,9,5,2024-12-27,30,0.1,135.0
34,10,5,2024-05-18,4,0.05,7.6
35,1,2,2023-09-21,23,0.15,23460.0
36,8,4,2023-11-16,31,0.15,527.0
37,1,1,2023-05-29,31,0.0,37200.0
38,7,4,2023-03-31,13,0.15,3315.0
39,8,4,2023-10-06,1,0.05,19.0
40,6,2,2024-01-02,50,0.0,1500.0
41,2,3,2024-01-20,8,0.1,5760.0
42,2,2,2024-07-20,11,0.15,7480.0
43,10,5,2023-08-02,16,0.0,32.0
44,2,5,2023-04-12,32,0.1,23040.0
45,3,2,2024-04-03,43,0.05,6127.5
46,10,1,2023-07-29,49,0.1,88.2
47,4,4,2024-02-02,28,0.0,1680.0
48,8,3,2023-06-12,19,0.0,380.0
49,2,4,2023-05-22,39,0.05,29640.0
50,5,5,2023-04-07,36,0.0,7920.0
51,7,1,2024-02-28,43,0.1,11610.0
52,6,2,2024-11-29,7,0.05,199.5
53,9,5,2024-10-06,2,0.15,8.5
54,3,3,2023-07-03,48,0.0,7200.0
55,5,2,2023-06-15,15,0.1,2970.0
56,2,4,2023-07-12,38,0.05,28880.0
57,7,1,2023-08-07,13,0.0,3900.0
58,10,5,2023-01-02,33,0.05,62.699999999999996
59,1,1,2023-08-16,26,0.0,31200.0
60,9,1,2023-01-20,1,0.15,4.25
61,3,3,2024-05-11,14,0.05,1995.0
62,4,4,2023-07-23,6,0.15,306.0
63,9,2,2024-09-21,40,0.1,180.0
64,9,1,2024-01-27,24,0.1,108.0
65,3,2,2024-05-02,25,0.15,3187.5
66,3,4,2024-12-30,16,0.0,2400.0
67,7,1,2023-04-17,45,0.05,12825.0
68,5,4,2024-09-23,13,0.05,2717.0
69,4,1,2024-07-30,7,0.15,357.0
70,9,2,2023-09-27,45,0.1,202.5
71,8,2,2023-06-14,39,0.1,702.0
72,1,1,2023-03-28,6,0.0,7200.0
73,6,2,2023-11-23,35,0.0,1050.0
74,3,4,2023-06-25,37,0.0,5550.0
75,6,5,2024-10-08,45,0.05,1282.5
76,9,4,2023-03-09,41,0.05,194.75
77,2,3,2024-02-21,12,0.0,9600.0
78,4,2,2024-07-19,15,0.05,855.0
79,7,2,2024-10-03,47,0.05,13395.0
80,2,2,2023-12-07,3,0.0,2400.0
81,7,3,2024-09-22,45,0.15,11475.0
82,3,1,2023-11-15,26,0.0,3900.0
83,10,4,2023-11-13,2,0.15,3.4
84,9,1,2023-02-02,44,0.0,220.0
85,6,5,2023-12-14,7,0.1,189.0
86,4,4,2023-04-28,11,0.15,561.0
87,8,4,2024-07-13,44,0.0,880.0
88,7,1,2023-09-10,34,0.15,8670.0
89,5,3,2023-11-26,45,0.1,8910.0
90,3,2,2024-03-07,15,0.0,2250.0
91,7,4,2023-03-31,18,0.1,4860.0
92,9,2,2023-10-31,43,0.15,182.75
93,2,1,2023-06-24,36,0.15,24480.0
94,7,2,2023-07-11,37,0.0,11100.0
95,4,4,2023-10-20,32,0.1,1728.0
96,6,5,2024-05-08,21,0.05,598.5
97,3,4,2023-04-20,5,0.1,675.0
98,3,1,2024-01-22,31,0.0,4650.0
99,5,4,2023-02-23,20,0.15,3740.0
100,8,1,2024-10-25,45,0.1,810.0
101,4,5,2024-02-24,7,0.05,399.0
102,3,1,2024-04-14,39,0.1,5265.0
103,10,1,2024-06-23,45,0.05,85.5
104,1,5,2023-11-11,50,0.0,60000.0
105,5,1,2024-07-06,4,0.15,748.0
106,8,2,2023-07-27,13,0.05,247.0
107,2,2,2024-12-19,7,0.05,5320.0
108,5,1,2024-01-25,28,0.0,6160.0
109,8,4,2024-07-07,6,0.1,108.0
110,1,4,2024-01-07,9,0.0,10800.0
111,7,5,2023-08-23,35,0.15,8925.0
112,2,3,2023-06-20,46,0.15,31280.0
113,4,2,2024-05-18,10,0.15,510.0
114,5,4,2023-10-28,31,0.05,6479.0
115,6,2,2023-09-26,41,0.05,1168.5
116,6,2,2023-09-17,32,0.0,960.0
117,1,2,2024-08-23,26,0.1,28080.0
118,1,2,2024-04-12,8,0.1,8640.0
119,6,3,2023-12-23,26,0.05,741.0
120,2,4,2023-01-09,12,0.05,9120.0
121,5,4,2023-10-06,12,0.15,2244.0
122,7,4,2023-11-09,2,0.05,570.0
123,2,3,2023-03-27,18,0.15,12240.0
124,5,3,2024-12-27,44,0.1,8712.0
125,3,4,2023-07-17,49,0.05,6982.5
126,8,1,2023-05-28,26,0.05,494.0
127,1,1,2023-10-02,11,0.15,11220.0
128,9,1,2024-05-17,4,0.1,18.0
129,9,2,2023-12-23,27,0.0,135.0
130,4,4,2023-08-13,30,0.0,1800.0
131,1,4,2024-10-18,6,0.0,7200.0
132,7,1,2023-12-21,41,0.1,11070.0
133,10,4,2023-11-03,32,0.15,54.4
134,4,2,2024-09-18,12,0.05,684.0
135,2,3,2024-12-27,40,0.05,30400.0
136,4,3,2024-08-11,6,0.1,324.0
137,1,1,2024-02-03,48,0.0,57600.0
138,5,2,2023-02-04,2,0.0,440.0
139,4,2,2023-03-08,25,0.0,1500.0
140,3,3,2023-03-09,48,0.15,6120.0
141,10,2,2024-07-14,16,0.1,28.8
142,10,4,2024-09-09,14,0.1,25.2
143,1,2,2023-09-05,47,0.15,47940.0
144,3,1,2024-09-22,41,0.0,6150.0
145,1,3,2024-04-23,28,0.0,33600.0
146,2,5,2024-06-23,28,0.15,19040.0
147,1,1,2023-04-18,8,0.1,8640.0
148,1,3,2023-04-13,6,0.05,6840.0
149,9,2,2023-02-18,37,0.0,185.0
150,5,4,2024-07-26,1,0.05,209.0
151,8,3,2023-06-10,42,0.15,714.0
152,7,1,2024-11-30,4,0.15,1020.0
153,10,1,2023-04-15,18,0.1,32.4
154,10,3,2024-08-27,3,0.05,5.699999999999999
155,1,2,2023-11-22,40,0.1,43200.0
156,3,4,2024-07-05,33,0.1,4455.0
157,4,1,2024-05-30,9,0.0,540.0
158,4,1,2023-02-23,43,0.15,2193.0
159,4,2,2023-10-19,25,0.0,1500.0
160,9,2,2023-01-24,12,0.0,60.0
161,4,5,2023-10-22,33,0.1,1782.0
162,7,1,2024-07-22,31,0.05,8835.0
163,6,2,2024-02-27,17,0.15,433.5
164,1,3,2024-10-26,28,0.0,33600.0
165,2,1,2023-11-19,47,0.1,33840.0
166,6,3,2024-12-29,40,0.05,1140.0
167,7,1,2024-05-04,13,0.0,3900.0
168,4,5,2024-05-28,29,0.0,1740.0
169,5,3,2023-09-21,41,0.1,8118.0
170,5,4,2023-02-11,34,0.1,6732.0
171,6,5,2024-10-22,23,0.15,586.5
172,7,2,2024-11-26,35,0.1,9450.0
173,3,1,2023-07-01,15,0.0,2250.0
174,9,4,2023-06-21,40,0.05,190.0
175,3,2,2023-03-09,18,0.15,2295.0
176,5,2,2024-12-06,6,0.1,1188.0
177,3,4,2023-07-09,20,0.15,2550.0
178,9,1,2024-04-03,16,0.0,80.0
179,10,1,2024-08-16,42,0.15,71.39999999999999
180,10,4,2023-10-16,38,0.1,68.4
181,2,1,2023-02-24,43,0.1,30960.0
182,5,3,2024-06-11,28,0.1,5544.0
183,2,1,2023-02-23,14,0.0,11200.0
184,10,5,2023-04-10,38,0.05,72.2
185,3,5,2024-04-22,43,0.0,6450.0
186,7,1,2023-11-12,32,0.05,9120.0
187,8,1,2024-09-09,34,0.0,680.0
188,9,3,2024-04-02,2,0.0,10.0
189,3,5,2024-12-19,2,0.1,270.0
190,9,2,2024-08-04,13,0.1,58.5
191,6,5,2024-07-08,4,0.0,120.0
192,6,2,2024-09-26,15,0.1,405.0
193,10,3,2023-06-21,15,0.0,30.0
194,6,1,2023-11-05,18,0.0,540.0
195,6,4,2024-01-20,42,0.05,1197.0
196,7,3,2023-01-08,23,0.15,5865.0
197,5,4,2024-01-12,27,0.05,5643.0
198,4,5,2023-09-15,3,0.15,153.0
199,9,3,2024-02-14,8,0.1,36.0
200,3,3,2023-05-19,4,0.05,570.0
201,5,5,2024-12-20,6,0.15,1122.0
202,6,1,2023-01-31,18,0.05,513.0
203,8,3,2024-03-06,3,0.1,54.0
